no.	SMARTS	Toxicity	Accuracy	Fisher P	Parents
254	[$(C1Cc2c(C[N,O]1)[n]c3ccccc23),$(C1C[N,O]Cc2[n]c3ccccc3c2C1),$(C1CCc2c(C[N,O]C1)[n]c3ccccc23),$(C1CC[N,O]Cc2[n]c3ccccc3c2CC1),$(C1Cc2c(C=[N,O]1)[n]c3ccccc23)]	0	0.76	0.013168	250
255	NC(Cc1cnc2ccccc12)C(O)=O	0	0.89	0.014029	250,256
256	OC(=O)CCc1cnc2ccccc12	0	0.83	0.016134	250
257	o1c3ccccc3c2ccccc12	1	0.75	0.245238	259
258	[$(a1aaa2a(a1)aaa3aaaaa23),$(a1aaa2aa3aaaaa3aa2a1),$(a1aa2aaaa3aaaa(a1)a23)]	1	0.88	0.000000	
259	[$(a1aa2aaa3aaaaa3a2a1),$(a1a2aaaaa2a3aaaaa13)]	1	0.87	0.000000	
260	[$(a1aa2aaaa3aaaa1a23),$(a1aaa2aa3aaaaa3aa12),$(a1aaa2aaa3aaaaa3a12)]	1	0.84	0.000000	
261	[$(Cn1cc3ccccc3c2ccccc12),$(Cn1c3ccccc3cc2ccccc12)]	1	1.00	0.018252	258
262	[c;D2]1ccc2ccc3ccc(O)c(OC)c3c2c1	1	0.92	0.008712	258
263	C[O;D2]c1cc2cc3ccoc3nc2cc1[O;D2]C	1	1.00	1.000000	260
264	OCc1cc2ccc3cccnc3c2n1	0	1.00	0.207048	260
265	COc1ccc2ccc3ccc(O)cc3c2c1O	0	1.00	0.042835	258
266	C1c3ccccc3-c2ccccc12	1	0.74	0.000692	259
267	O=CN[$(c1[c;D2]cc-2c(Cc3ccccc-23)[c;D2]1),$(c1c([*;!O])cc-2c(Cc3ccccc-23)c([*;!O])1)]	1	1.00	0.000217	259
268	Oc1c2Cc3ccccc3-c2ccc1NC=O	0	1.00	0.094184	259
269	[$(ClCCNCCCN),$(NCCCN)]c1c2ccccc2nc3ccccc13	1	1.00	0.000004	258
270	CS(=O)(=O)Nc1ccc(Nc2c4ccccc4nc3ccccc23)cc1	1	0.91	0.015192	258
271	N[N;H1;D2]C=O	1	0.61	0.571525	
272	O1C=CC2C1Oc3ccccc23	1	0.95	0.000135	
